Provinsi,KabKot,Jenis Kelamin,Tingkat Pendidikan,Jumlah Penduduk,Latitude,Longitude
Sumatera Utara,Kota Pematang Siantar,Jumlah Laki Laki,Tamat SD,9000,2.9676,99.0514
Sumatera Utara,Kota Pematang Siantar,Jumlah Laki Laki,Tamat SLTP,20026,2.9676,99.0514
Sumatera Utara,Kota Pematang Siantar,Jumlah Laki Laki,Tamat SLTA,39383,2.9676,99.0514
Sumatera Utara,Kota Pematang Siantar,Jumlah Laki Laki,Tamat PT,9195,2.9676,99.0514
Sumatera Utara,Kota Tebing Tinggi,Jumlah Laki Laki,Tidak/Belum Tamat SD,1147,3.33108,99.1414
Sumatera Utara,Kota Tebing Tinggi,Jumlah Laki Laki,Tamat SD,9390,3.33108,99.1414
Sumatera Utara,Kota Tebing Tinggi,Jumlah Laki Laki,Tamat SLTP,13490,3.33108,99.1414
Sumatera Utara,Kota Tebing Tinggi,Jumlah Laki Laki,Tamat SLTA,21669,3.33108,99.1414
Sumatera Utara,Kota Tebing Tinggi,Jumlah Laki Laki,Tamat PT,3640,3.33108,99.1414
Sumatera Utara,Kota Medan,Jumlah Laki Laki,Tidak/Belum Tamat SD,12540,3.6686,98.6712
Sumatera Utara,Kota Medan,Jumlah Laki Laki,Tamat SD,84621,3.6686,98.6712
Sumatera Utara,Kota Medan,Jumlah Laki Laki,Tamat SLTP,162075,3.6686,98.6712
Sumatera Utara,Kota Medan,Jumlah Laki Laki,Tamat SLTA,376719,3.6686,98.6712
Sumatera Utara,Kota Medan,Jumlah Laki Laki,Tamat PT,101098,3.6686,98.6712
Sumatera Utara,Kota Binjai,Jumlah Laki Laki,Tidak/Belum Tamat SD,2086,3.61904,98.4846
Sumatera Utara,Kota Binjai,Jumlah Laki Laki,Tamat SD,15862,3.61904,98.4846
Sumatera Utara,Kota Binjai,Jumlah Laki Laki,Tamat SLTP,21657,3.61904,98.4846
Sumatera Utara,Kota Binjai,Jumlah Laki Laki,Tamat SLTA,39151,3.61904,98.4846
Sumatera Utara,Kota Binjai,Jumlah Laki Laki,Tamat PT,6917,3.61904,98.4846
Sumatera Utara,Kota Padangsidimpuan,Jumlah Laki Laki,Tidak/Belum Tamat SD,2150,1.30299,99.2289
Sumatera Utara,Kota Padangsidimpuan,Jumlah Laki Laki,Tamat SD,11539,1.30299,99.2289
Sumatera Utara,Kota Padangsidimpuan,Jumlah Laki Laki,Tamat SLTP,15801,1.30299,99.2289
Sumatera Utara,Kota Padangsidimpuan,Jumlah Laki Laki,Tamat SLTA,25574,1.30299,99.2289
Sumatera Utara,Kota Padangsidimpuan,Jumlah Laki Laki,Tamat PT,5877,1.30299,99.2289
Sumatera Utara,Kota Gunungsitoli,Jumlah Laki Laki,Tidak/Belum Tamat SD,3602,1.26105,97.5949
Sumatera Utara,Kota Gunungsitoli,Jumlah Laki Laki,Tamat SD,7545,1.26105,97.5949
Sumatera Utara,Kota Gunungsitoli,Jumlah Laki Laki,Tamat SLTP,8576,1.26105,97.5949
Sumatera Utara,Kota Gunungsitoli,Jumlah Laki Laki,Tamat SLTA,11368,1.26105,97.5949
Sumatera Utara,Kota Gunungsitoli,Jumlah Laki Laki,Tamat PT,3474,1.26105,97.5949
Sumatera Barat,Kepulauan Mentawai,Jumlah Laki Laki,Tidak/Belum Tamat SD,5216,-1.34643,98.9409
Sumatera Barat,Kepulauan Mentawai,Jumlah Laki Laki,Tamat SD,8329,-1.34643,98.9409
Sumatera Barat,Kepulauan Mentawai,Jumlah Laki Laki,Tamat SLTP,3995,-1.34643,98.9409
Sumatera Barat,Kepulauan Mentawai,Jumlah Laki Laki,Tamat SLTA,3538,-1.34643,98.9409
Sumatera Barat,Kepulauan Mentawai,Jumlah Laki Laki,Tamat PT,878,-1.34643,98.9409
Sumatera Barat,Pesisir Selatan,Jumlah Laki Laki,Tidak/Belum Tamat SD,15369,-1.74602,100.844
Sumatera Barat,Pesisir Selatan,Jumlah Laki Laki,Tamat SD,43601,-1.74602,100.844
Sumatera Barat,Pesisir Selatan,Jumlah Laki Laki,Tamat SLTP,36281,-1.74602,100.844
Sumatera Barat,Pesisir Selatan,Jumlah Laki Laki,Tamat SLTA,33253,-1.74602,100.844
Sumatera Barat,Pesisir Selatan,Jumlah Laki Laki,Tamat PT,5342,-1.74602,100.844
Sumatera Barat,Solok,Jumlah Laki Laki,Tidak/Belum Tamat SD,18081,-0.933584,100.83
Sumatera Barat,Solok,Jumlah Laki Laki,Tamat SD,41337,-0.933584,100.83
Sumatera Barat,Solok,Jumlah Laki Laki,Tamat SLTP,24868,-0.933584,100.83
Sumatera Barat,Solok,Jumlah Laki Laki,Tamat SLTA,20128,-0.933584,100.83
Sumatera Barat,Solok,Jumlah Laki Laki,Tamat PT,4547,-0.933584,100.83
Sumatera Barat,Sijunjung,Jumlah Laki Laki,Tidak/Belum Tamat SD,10451,-0.650064,101.147
Sumatera Barat,Sijunjung,Jumlah Laki Laki,Tamat SD,22786,-0.650064,101.147
Sumatera Barat,Sijunjung,Jumlah Laki Laki,Tamat SLTP,14262,-0.650064,101.147
Sumatera Barat,Sijunjung,Jumlah Laki Laki,Tamat SLTA,12726,-0.650064,101.147
Sumatera Barat,Sijunjung,Jumlah Laki Laki,Tamat PT,2849,-0.650064,101.147
Sumatera Barat,Tanah Datar,Jumlah Laki Laki,Tidak/Belum Tamat SD,14178,-0.470079,100.582
Sumatera Barat,Tanah Datar,Jumlah Laki Laki,Tamat SD,35650,-0.470079,100.582
Sumatera Barat,Tanah Datar,Jumlah Laki Laki,Tamat SLTP,27850,-0.470079,100.582
Sumatera Barat,Tanah Datar,Jumlah Laki Laki,Tamat SLTA,26168,-0.470079,100.582
Sumatera Barat,Tanah Datar,Jumlah Laki Laki,Tamat PT,5982,-0.470079,100.582
Sumatera Barat,Padang Pariaman,Jumlah Laki Laki,Tidak/Belum Tamat SD,14885,-0.59275,100.257
Sumatera Barat,Padang Pariaman,Jumlah Laki Laki,Tamat SD,41136,-0.59275,100.257
Sumatera Barat,Padang Pariaman,Jumlah Laki Laki,Tamat SLTP,30212,-0.59275,100.257
Sumatera Barat,Padang Pariaman,Jumlah Laki Laki,Tamat SLTA,27327,-0.59275,100.257
Sumatera Barat,Padang Pariaman,Jumlah Laki Laki,Tamat PT,4763,-0.59275,100.257
Sumatera Barat,Agam,Jumlah Laki Laki,Tidak/Belum Tamat SD,15747,-0.266132,100.15
Sumatera Barat,Agam,Jumlah Laki Laki,Tamat SD,47553,-0.266132,100.15
Sumatera Barat,Agam,Jumlah Laki Laki,Tamat SLTP,36306,-0.266132,100.15
Sumatera Barat,Agam,Jumlah Laki Laki,Tamat SLTA,37662,-0.266132,100.15
Sumatera Barat,Agam,Jumlah Laki Laki,Tamat PT,8247,-0.266132,100.15
Sumatera Barat,Lima Puluh Kota,Jumlah Laki Laki,Tidak/Belum Tamat SD,16538,-0.000848,100.563
Sumatera Barat,Lima Puluh Kota,Jumlah Laki Laki,Tamat SD,39759,-0.000848,100.563
Sumatera Barat,Lima Puluh Kota,Jumlah Laki Laki,Tamat SLTP,27847,-0.000848,100.563
Sumatera Barat,Lima Puluh Kota,Jumlah Laki Laki,Tamat SLTA,24251,-0.000848,100.563
Sumatera Barat,Lima Puluh Kota,Jumlah Laki Laki,Tamat PT,4592,-0.000848,100.563
Sumatera Barat,Pasaman,Jumlah Laki Laki,Tidak/Belum Tamat SD,10119,0.39956,100.083
Sumatera Barat,Pasaman,Jumlah Laki Laki,Tamat SD,30033,0.39956,100.083
Sumatera Barat,Pasaman,Jumlah Laki Laki,Tamat SLTP,19435,0.39956,100.083
Sumatera Barat,Pasaman,Jumlah Laki Laki,Tamat SLTA,14698,0.39956,100.083
Sumatera Barat,Pasaman,Jumlah Laki Laki,Tamat PT,3359,0.39956,100.083
Sumatera Barat,Solok Selatan,Jumlah Laki Laki,Tidak/Belum Tamat SD,5722,-1.35893,101.276
Sumatera Barat,Solok Selatan,Jumlah Laki Laki,Tamat SD,16255,-1.35893,101.276
Sumatera Barat,Solok Selatan,Jumlah Laki Laki,Tamat SLTP,11935,-1.35893,101.276
Sumatera Barat,Solok Selatan,Jumlah Laki Laki,Tamat SLTA,10309,-1.35893,101.276
Sumatera Barat,Solok Selatan,Jumlah Laki Laki,Tamat PT,2154,-1.35893,101.276
Sumatera Barat,Dharmas Raya,Jumlah Laki Laki,Tidak/Belum Tamat SD,5896,-1.00085,101.342
Sumatera Barat,Dharmas Raya,Jumlah Laki Laki,Tamat SD,23761,-1.00085,101.342
Sumatera Barat,Dharmas Raya,Jumlah Laki Laki,Tamat SLTP,18034,-1.00085,101.342
Sumatera Barat,Dharmas Raya,Jumlah Laki Laki,Tamat SLTA,15175,-1.00085,101.342
Sumatera Barat,Dharmas Raya,Jumlah Laki Laki,Tamat PT,2945,-1.00085,101.342
Sumatera Barat,Pasaman Barat,Jumlah Laki Laki,Tidak/Belum Tamat SD,12058,0.186779,99.5962
Sumatera Barat,Pasaman Barat,Jumlah Laki Laki,Tamat SD,42029,0.186779,99.5962
Sumatera Barat,Pasaman Barat,Jumlah Laki Laki,Tamat SLTP,29509,0.186779,99.5962
Sumatera Barat,Pasaman Barat,Jumlah Laki Laki,Tamat SLTA,24934,0.186779,99.5962
Sumatera Barat,Pasaman Barat,Jumlah Laki Laki,Tamat PT,4822,0.186779,99.5962
Sumatera Barat,Kota Padang,Jumlah Laki Laki,Tidak/Belum Tamat SD,8160,-1.00273,100.451
Sumatera Barat,Kota Padang,Jumlah Laki Laki,Tamat SD,38414,-1.00273,100.451
Sumatera Barat,Kota Padang,Jumlah Laki Laki,Tamat SLTP,59553,-1.00273,100.451
Sumatera Barat,Kota Padang,Jumlah Laki Laki,Tamat SLTA,148865,-1.00273,100.451
Sumatera Barat,Kota Padang,Jumlah Laki Laki,Tamat PT,39236,-1.00273,100.451
Sumatera Barat,Kota Solok,Jumlah Laki Laki,Tidak/Belum Tamat SD,1171,-0.759189,100.599
Sumatera Barat,Kota Solok,Jumlah Laki Laki,Tamat SD,3484,-0.759189,100.599
Sumatera Barat,Kota Solok,Jumlah Laki Laki,Tamat SLTP,4891,-0.759189,100.599
Sumatera Barat,Kota Solok,Jumlah Laki Laki,Tamat SLTA,7487,-0.759189,100.599
Sumatera Barat,Kota Solok,Jumlah Laki Laki,Tamat PT,2480,-0.759189,100.599
Sumatera Barat,Kota Sawah Lunto,Jumlah Laki Laki,Tidak/Belum Tamat SD,1948,-0.677574,100.788
Sumatera Barat,Kota Sawah Lunto,Jumlah Laki Laki,Tamat SD,4951,-0.677574,100.788
Sumatera Barat,Kota Sawah Lunto,Jumlah Laki Laki,Tamat SLTP,4505,-0.677574,100.788
Sumatera Barat,Kota Sawah Lunto,Jumlah Laki Laki,Tamat SLTA,6114,-0.677574,100.788
Sumatera Barat,Kota Sawah Lunto,Jumlah Laki Laki,Tamat PT,1615,-0.677574,100.788
Sumatera Barat,Kota Padang Panjang,Jumlah Laki Laki,Tidak/Belum Tamat SD,886,-0.453913,100.423
Sumatera Barat,Kota Padang Panjang,Jumlah Laki Laki,Tamat SD,2193,-0.453913,100.423
Sumatera Barat,Kota Padang Panjang,Jumlah Laki Laki,Tamat SLTP,3848,-0.453913,100.423
Sumatera Barat,Kota Padang Panjang,Jumlah Laki Laki,Tamat SLTA,6347,-0.453913,100.423
Sumatera Barat,Kota Padang Panjang,Jumlah Laki Laki,Tamat PT,2113,-0.453913,100.423
Sumatera Barat,Kota Bukittinggi,Jumlah Laki Laki,Tidak/Belum Tamat SD,1230,-0.271348,100.372
Sumatera Barat,Kota Bukittinggi,Jumlah Laki Laki,Tamat SD,5624,-0.271348,100.372
Sumatera Barat,Kota Bukittinggi,Jumlah Laki Laki,Tamat SLTP,8971,-0.271348,100.372
Sumatera Barat,Kota Bukittinggi,Jumlah Laki Laki,Tamat SLTA,16323,-0.271348,100.372
Sumatera Barat,Kota Bukittinggi,Jumlah Laki Laki,Tamat PT,4981,-0.271348,100.372
Sumatera Barat,Kota Payakumbuh,Jumlah Laki Laki,Tidak/Belum Tamat SD,2902,-0.239505,100.641
Sumatera Barat,Kota Payakumbuh,Jumlah Laki Laki,Tamat SD,8627,-0.239505,100.641
Sumatera Barat,Kota Payakumbuh,Jumlah Laki Laki,Tamat SLTP,9099,-0.239505,100.641
Sumatera Barat,Kota Payakumbuh,Jumlah Laki Laki,Tamat SLTA,14175,-0.239505,100.641
Sumatera Barat,Kota Payakumbuh,Jumlah Laki Laki,Tamat PT,4028,-0.239505,100.641
Sumatera Barat,Kota Pariaman,Jumlah Laki Laki,Tidak/Belum Tamat SD,1854,-0.626203,100.145
Sumatera Barat,Kota Pariaman,Jumlah Laki Laki,Tamat SD,5451,-0.626203,100.145
Sumatera Barat,Kota Pariaman,Jumlah Laki Laki,Tamat SLTP,6583,-0.626203,100.145
Sumatera Barat,Kota Pariaman,Jumlah Laki Laki,Tamat SLTA,8988,-0.626203,100.145
Sumatera Barat,Kota Pariaman,Jumlah Laki Laki,Tamat PT,2631,-0.626203,100.145
Riau,Kuantan Singingi,Jumlah Laki Laki,Tidak/Belum Tamat SD,7339,-0.491978,101.47
Riau,Kuantan Singingi,Jumlah Laki Laki,Tamat SD,35478,-0.491978,101.47
Riau,Kuantan Singingi,Jumlah Laki Laki,Tamat SLTP,27025,-0.491978,101.47
Riau,Kuantan Singingi,Jumlah Laki Laki,Tamat SLTA,25006,-0.491978,101.47
Riau,Kuantan Singingi,Jumlah Laki Laki,Tamat PT,5017,-0.491978,101.47
Riau,Indragiri Hulu,Jumlah Laki Laki,Tidak/Belum Tamat SD,10118,-0.522681,102.243
Riau,Indragiri Hulu,Jumlah Laki Laki,Tamat SD,44824,-0.522681,102.243
Riau,Indragiri Hulu,Jumlah Laki Laki,Tamat SLTP,30913,-0.522681,102.243
Riau,Indragiri Hulu,Jumlah Laki Laki,Tamat SLTA,30695,-0.522681,102.243
Riau,Indragiri Hulu,Jumlah Laki Laki,Tamat PT,5353,-0.522681,102.243
Riau,Indragiri Hilir,Jumlah Laki Laki,Tidak/Belum Tamat SD,21481,-0.287854,103.183
Riau,Indragiri Hilir,Jumlah Laki Laki,Tamat SD,108798,-0.287854,103.183
Riau,Indragiri Hilir,Jumlah Laki Laki,Tamat SLTP,50641,-0.287854,103.183
Riau,Indragiri Hilir,Jumlah Laki Laki,Tamat SLTA,39063,-0.287854,103.183
Riau,Indragiri Hilir,Jumlah Laki Laki,Tamat PT,7005,-0.287854,103.183
Riau,Pelalawan,Jumlah Laki Laki,Tidak/Belum Tamat SD,8254,0.124485,102.427
Riau,Pelalawan,Jumlah Laki Laki,Tamat SD,34061,0.124485,102.427
Riau,Pelalawan,Jumlah Laki Laki,Tamat SLTP,25068,0.124485,102.427
Riau,Pelalawan,Jumlah Laki Laki,Tamat SLTA,29117,0.124485,102.427
Riau,Pelalawan,Jumlah Laki Laki,Tamat PT,5506,0.124485,102.427
Riau,Siak,Jumlah Laki Laki,Tidak/Belum Tamat SD,6160,0.761717,101.846
Riau,Siak,Jumlah Laki Laki,Tamat SD,34754,0.761717,101.846
Riau,Siak,Jumlah Laki Laki,Tamat SLTP,33449,0.761717,101.846
Riau,Siak,Jumlah Laki Laki,Tamat SLTA,44712,0.761717,101.846
Riau,Siak,Jumlah Laki Laki,Tamat PT,6305,0.761717,101.846
Riau,Kampar,Jumlah Laki Laki,Tidak/Belum Tamat SD,10237,0.27116,101.089
Riau,Kampar,Jumlah Laki Laki,Tamat SD,70644,0.27116,101.089
Riau,Kampar,Jumlah Laki Laki,Tamat SLTP,65782,0.27116,101.089
Riau,Kampar,Jumlah Laki Laki,Tamat SLTA,71330,0.27116,101.089
Riau,Kampar,Jumlah Laki Laki,Tamat PT,12106,0.27116,101.089
Riau,Rokan Hulu,Jumlah Laki Laki,Tidak/Belum Tamat SD,12426,0.821098,100.506
Riau,Rokan Hulu,Jumlah Laki Laki,Tamat SD,58085,0.821098,100.506
Riau,Rokan Hulu,Jumlah Laki Laki,Tamat SLTP,42784,0.821098,100.506
Riau,Rokan Hulu,Jumlah Laki Laki,Tamat SLTA,36317,0.821098,100.506
Riau,Rokan Hulu,Jumlah Laki Laki,Tamat PT,5351,0.821098,100.506
Riau,Bengkalis,Jumlah Laki Laki,Tidak/Belum Tamat SD,8915,1.24641,101.523
Riau,Bengkalis,Jumlah Laki Laki,Tamat SD,48550,1.24641,101.523
Riau,Bengkalis,Jumlah Laki Laki,Tamat SLTP,38444,1.24641,101.523
Riau,Bengkalis,Jumlah Laki Laki,Tamat SLTA,60052,1.24641,101.523
Riau,Bengkalis,Jumlah Laki Laki,Tamat PT,9872,1.24641,101.523
Riau,Rokan Hilir,Jumlah Laki Laki,Tidak/Belum Tamat SD,10941,1.86948,100.838
Riau,Rokan Hilir,Jumlah Laki Laki,Tamat SD,70972,1.86948,100.838
Riau,Rokan Hilir,Jumlah Laki Laki,Tamat SLTP,49827,1.86948,100.838
Riau,Rokan Hilir,Jumlah Laki Laki,Tamat SLTA,41212,1.86948,100.838
Riau,Rokan Hilir,Jumlah Laki Laki,Tamat PT,5082,1.86948,100.838
Riau,Kepulauan Meranti,Jumlah Laki Laki,Tidak/Belum Tamat SD,5315,0.907379,102.726
Riau,Kepulauan Meranti,Jumlah Laki Laki,Tamat SD,25960,0.907379,102.726
Riau,Kepulauan Meranti,Jumlah Laki Laki,Tamat SLTP,12407,0.907379,102.726
Riau,Kepulauan Meranti,Jumlah Laki Laki,Tamat SLTA,11208,0.907379,102.726
Riau,Kepulauan Meranti,Jumlah Laki Laki,Tamat PT,2344,0.907379,102.726
Riau,Kota Pekanbaru,Jumlah Laki Laki,Tidak/Belum Tamat SD,7495,0.557415,101.462
Riau,Kota Pekanbaru,Jumlah Laki Laki,Tamat SD,36873,0.557415,101.462
Riau,Kota Pekanbaru,Jumlah Laki Laki,Tamat SLTP,68106,0.557415,101.462
Riau,Kota Pekanbaru,Jumlah Laki Laki,Tamat SLTA,162839,0.557415,101.462
Riau,Kota Pekanbaru,Jumlah Laki Laki,Tamat PT,43802,0.557415,101.462
Riau,Kota Dumai,Jumlah Laki Laki,Tidak/Belum Tamat SD,4369,1.74798,101.264
Riau,Kota Dumai,Jumlah Laki Laki,Tamat SD,20422,1.74798,101.264
Riau,Kota Dumai,Jumlah Laki Laki,Tamat SLTP,20950,1.74798,101.264
Riau,Kota Dumai,Jumlah Laki Laki,Tamat SLTA,34474,1.74798,101.264
Riau,Kota Dumai,Jumlah Laki Laki,Tamat PT,6444,1.74798,101.264
Jambi,Kerinci,Jumlah Laki Laki,Tidak/Belum Tamat SD,8335,-2.06012,101.478
Jambi,Kerinci,Jumlah Laki Laki,Tamat SD,22964,-2.06012,101.478
Jambi,Kerinci,Jumlah Laki Laki,Tamat SLTP,18529,-2.06012,101.478
Jambi,Kerinci,Jumlah Laki Laki,Tamat SLTA,21178,-2.06012,101.478
Jambi,Kerinci,Jumlah Laki Laki,Tamat PT,5634,-2.06012,101.478
Jambi,Merangin,Jumlah Laki Laki,Tidak/Belum Tamat SD,9003,-2.20381,102.056
Jambi,Merangin,Jumlah Laki Laki,Tamat SD,46664,-2.20381,102.056
Jambi,Merangin,Jumlah Laki Laki,Tamat SLTP,26665,-2.20381,102.056
Jambi,Merangin,Jumlah Laki Laki,Tamat SLTA,23922,-2.20381,102.056
Jambi,Merangin,Jumlah Laki Laki,Tamat PT,5198,-2.20381,102.056
Jambi,Sarolangun,Jumlah Laki Laki,Tidak/Belum Tamat SD,7217,-2.33009,102.649
Jambi,Sarolangun,Jumlah Laki Laki,Tamat SD,32414,-2.33009,102.649
Jambi,Sarolangun,Jumlah Laki Laki,Tamat SLTP,19404,-2.33009,102.649
Jambi,Sarolangun,Jumlah Laki Laki,Tamat SLTA,17243,-2.33009,102.649
Jambi,Sarolangun,Jumlah Laki Laki,Tamat PT,4211,-2.33009,102.649
Jambi,Batang Hari,Jumlah Laki Laki,Tidak/Belum Tamat SD,8230,-1.85729,103.015
Jambi,Batang Hari,Jumlah Laki Laki,Tamat SD,30208,-1.85729,103.015
Jambi,Batang Hari,Jumlah Laki Laki,Tamat SLTP,20257,-1.85729,103.015
Jambi,Batang Hari,Jumlah Laki Laki,Tamat SLTA,17964,-1.85729,103.015
Jambi,Batang Hari,Jumlah Laki Laki,Tamat PT,3779,-1.85729,103.015
Jambi,Muaro Jambi,Jumlah Laki Laki,Tidak/Belum Tamat SD,8679,-1.64549,103.746
Jambi,Muaro Jambi,Jumlah Laki Laki,Tamat SD,44660,-1.64549,103.746
Jambi,Muaro Jambi,Jumlah Laki Laki,Tamat SLTP,32196,-1.64549,103.746
Jambi,Muaro Jambi,Jumlah Laki Laki,Tamat SLTA,29646,-1.64549,103.746
Jambi,Muaro Jambi,Jumlah Laki Laki,Tamat PT,4241,-1.64549,103.746
Jambi,Tanjung Jabung Timur,Jumlah Laki Laki,Tidak/Belum Tamat SD,10308,-1.30035,103.98
Jambi,Tanjung Jabung Timur,Jumlah Laki Laki,Tamat SD,32071,-1.30035,103.98
Jambi,Tanjung Jabung Timur,Jumlah Laki Laki,Tamat SLTP,14260,-1.30035,103.98
Jambi,Tanjung Jabung Timur,Jumlah Laki Laki,Tamat SLTA,10072,-1.30035,103.98
Jambi,Tanjung Jabung Timur,Jumlah Laki Laki,Tamat PT,2257,-1.30035,103.98
Jambi,Tanjung Jabung Barat,Jumlah Laki Laki,Tidak/Belum Tamat SD,10643,-1.12062,103.142
Jambi,Tanjung Jabung Barat,Jumlah Laki Laki,Tamat SD,37783,-1.12062,103.142
Jambi,Tanjung Jabung Barat,Jumlah Laki Laki,Tamat SLTP,22606,-1.12062,103.142
Jambi,Tanjung Jabung Barat,Jumlah Laki Laki,Tamat SLTA,20767,-1.12062,103.142
Jambi,Tanjung Jabung Barat,Jumlah Laki Laki,Tamat PT,3998,-1.12062,103.142
Jambi,Tebo,Jumlah Laki Laki,Tidak/Belum Tamat SD,9622,-1.39386,102.317
Jambi,Tebo,Jumlah Laki Laki,Tamat SD,43377,-1.39386,102.317
Jambi,Tebo,Jumlah Laki Laki,Tamat SLTP,26097,-1.39386,102.317
Jambi,Tebo,Jumlah Laki Laki,Tamat SLTA,19303,-1.39386,102.317
Jambi,Tebo,Jumlah Laki Laki,Tamat PT,3466,-1.39386,102.317
Jambi,Bungo,Jumlah Laki Laki,Tidak/Belum Tamat SD,8056,-1.50943,101.958
Jambi,Bungo,Jumlah Laki Laki,Tamat SD,35903,-1.50943,101.958
Jambi,Bungo,Jumlah Laki Laki,Tamat SLTP,26105,-1.50943,101.958
Jambi,Bungo,Jumlah Laki Laki,Tamat SLTA,26485,-1.50943,101.958
Jambi,Bungo,Jumlah Laki Laki,Tamat PT,5495,-1.50943,101.958
Jambi,Kota Jambi,Jumlah Laki Laki,Tidak/Belum Tamat SD,5505,-1.62225,103.641
Jambi,Kota Jambi,Jumlah Laki Laki,Tamat SD,29180,-1.62225,103.641
Jambi,Kota Jambi,Jumlah Laki Laki,Tamat SLTP,41963,-1.62225,103.641
Jambi,Kota Jambi,Jumlah Laki Laki,Tamat SLTA,87922,-1.62225,103.641
Jambi,Kota Jambi,Jumlah Laki Laki,Tamat PT,25467,-1.62225,103.641
Jambi,Kota Sungai Penuh,Jumlah Laki Laki,Tidak/Belum Tamat SD,1686,-2.09008,101.339
Jambi,Kota Sungai Penuh,Jumlah Laki Laki,Tamat SD,5081,-2.09008,101.339
Jambi,Kota Sungai Penuh,Jumlah Laki Laki,Tamat SLTP,6586,-2.09008,101.339
Jambi,Kota Sungai Penuh,Jumlah Laki Laki,Tamat SLTA,10819,-2.09008,101.339
Jambi,Kota Sungai Penuh,Jumlah Laki Laki,Tamat PT,3335,-2.09008,101.339
Sumatera Selatan,Ogan Komering Ulu,Jumlah Laki Laki,Tidak/Belum Tamat SD,8969,-4.01787,104.146
Sumatera Selatan,Ogan Komering Ulu,Jumlah Laki Laki,Tamat SD,39772,-4.01787,104.146
Sumatera Selatan,Ogan Komering Ulu,Jumlah Laki Laki,Tamat SLTP,26692,-4.01787,104.146
Sumatera Selatan,Ogan Komering Ulu,Jumlah Laki Laki,Tamat SLTA,32234,-4.01787,104.146
Sumatera Selatan,Ogan Komering Ulu,Jumlah Laki Laki,Tamat PT,5601,-4.01787,104.146
Sumatera Selatan,Ogan Komering Ilir,Jumlah Laki Laki,Tidak/Belum Tamat SD,31710,-3.32657,105.198
Sumatera Selatan,Ogan Komering Ilir,Jumlah Laki Laki,Tamat SD,118686,-3.32657,105.198
Sumatera Selatan,Ogan Komering Ilir,Jumlah Laki Laki,Tamat SLTP,54209,-3.32657,105.198
Sumatera Selatan,Ogan Komering Ilir,Jumlah Laki Laki,Tamat SLTA,37293,-3.32657,105.198
Sumatera Selatan,Ogan Komering Ilir,Jumlah Laki Laki,Tamat PT,5552,-3.32657,105.198
Sumatera Selatan,Muara Enim,Jumlah Laki Laki,Tidak/Belum Tamat SD,26465,-3.71069,104.044
Sumatera Selatan,Muara Enim,Jumlah Laki Laki,Tamat SD,95017,-3.71069,104.044
Sumatera Selatan,Muara Enim,Jumlah Laki Laki,Tamat SLTP,50814,-3.71069,104.044
Sumatera Selatan,Muara Enim,Jumlah Laki Laki,Tamat SLTA,55792,-3.71069,104.044
Sumatera Selatan,Muara Enim,Jumlah Laki Laki,Tamat PT,8261,-3.71069,104.044
Sumatera Selatan,Lahat,Jumlah Laki Laki,Tidak/Belum Tamat SD,10848,-3.8887,103.196
Sumatera Selatan,Lahat,Jumlah Laki Laki,Tamat SD,42711,-3.8887,103.196
Sumatera Selatan,Lahat,Jumlah Laki Laki,Tamat SLTP,32173,-3.8887,103.196
Sumatera Selatan,Lahat,Jumlah Laki Laki,Tamat SLTA,36412,-3.8887,103.196
Sumatera Selatan,Lahat,Jumlah Laki Laki,Tamat PT,5676,-3.8887,103.196
Sumatera Selatan,Musi Rawas,Jumlah Laki Laki,Tidak/Belum Tamat SD,20981,-2.95853,102.861
Sumatera Selatan,Musi Rawas,Jumlah Laki Laki,Tamat SD,83243,-2.95853,102.861
Sumatera Selatan,Musi Rawas,Jumlah Laki Laki,Tamat SLTP,39531,-2.95853,102.861
Sumatera Selatan,Musi Rawas,Jumlah Laki Laki,Tamat SLTA,28911,-2.95853,102.861
Sumatera Selatan,Musi Rawas,Jumlah Laki Laki,Tamat PT,3895,-2.95853,102.861
Sumatera Selatan,Musi Banyuasin,Jumlah Laki Laki,Tidak/Belum Tamat SD,16963,-2.44468,104.293
Sumatera Selatan,Musi Banyuasin,Jumlah Laki Laki,Tamat SD,91123,-2.44468,104.293
Sumatera Selatan,Musi Banyuasin,Jumlah Laki Laki,Tamat SLTP,43076,-2.44468,104.293
Sumatera Selatan,Musi Banyuasin,Jumlah Laki Laki,Tamat SLTA,34930,-2.44468,104.293
Sumatera Selatan,Musi Banyuasin,Jumlah Laki Laki,Tamat PT,4691,-2.44468,104.293
Sumatera Selatan,Banyu Asin,Jumlah Laki Laki,Tidak/Belum Tamat SD,30156,-2.41036,104.787
Sumatera Selatan,Banyu Asin,Jumlah Laki Laki,Tamat SD,117029,-2.41036,104.787
Sumatera Selatan,Banyu Asin,Jumlah Laki Laki,Tamat SLTP,49925,-2.41036,104.787
Sumatera Selatan,Banyu Asin,Jumlah Laki Laki,Tamat SLTA,45071,-2.41036,104.787
Sumatera Selatan,Banyu Asin,Jumlah Laki Laki,Tamat PT,6931,-2.41036,104.787
Sumatera Selatan,Ogan Komering Ulu Selatan,Jumlah Laki Laki,Tidak/Belum Tamat SD,7304,-4.56882,103.97
Sumatera Selatan,Ogan Komering Ulu Selatan,Jumlah Laki Laki,Tamat SD,56810,-4.56882,103.97
Sumatera Selatan,Ogan Komering Ulu Selatan,Jumlah Laki Laki,Tamat SLTP,29608,-4.56882,103.97
