Provinsi,KabKot,Jenis Kelamin,Tingkat Pendidikan,Jumlah Penduduk,Latitude,Longitude
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tidak/Belum Tamat SD,3830,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat SD,14247,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat SLTP,10192,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat SLTA,9460,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat PT,2646,3.78325,96.9143
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tidak/Belum Tamat SD,2264,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat SD,6742,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat SLTP,5460,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat SLTA,5796,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat PT,2065,3.97798,97.323
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tidak/Belum Tamat SD,5775,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat SD,28446,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat SLTP,20920,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat SLTA,23651,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat PT,3403,4.20756,98.0029
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tidak/Belum Tamat SD,2919,4.15452,96.5184
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tamat SD,14395,4.15452,96.5184
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tamat SLTP,12925,4.15452,96.5184
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tamat SLTA,12186,4.15452,96.5184
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tamat PT,2725,4.15452,96.5184
Nanggroe Aceh Darussalam,Aceh Jaya,Jumlah Laki Laki,Tidak/Belum Tamat SD,1753,4.8271,95.6491
Nanggroe Aceh Darussalam,Aceh Jaya,Jumlah Laki Laki,Tamat SD,9901,4.8271,95.6491
Nanggroe Aceh Darussalam,Aceh Jaya,Jumlah Laki Laki,Tamat SLTP,7478,4.8271,95.6491
Nanggroe Aceh Darussalam,Aceh Jaya,Jumlah Laki Laki,Tamat SLTA,6516,4.8271,95.6491
Nanggroe Aceh Darussalam,Aceh Jaya,Jumlah Laki Laki,Tamat PT,1444,4.8271,95.6491
Nanggroe Aceh Darussalam,Bener Meriah,Jumlah Laki Laki,Tidak/Belum Tamat SD,1908,4.76923,96.9901
Nanggroe Aceh Darussalam,Bener Meriah,Jumlah Laki Laki,Tamat SD,11212,4.76923,96.9901
Nanggroe Aceh Darussalam,Bener Meriah,Jumlah Laki Laki,Tamat SLTP,12283,4.76923,96.9901
Nanggroe Aceh Darussalam,Bener Meriah,Jumlah Laki Laki,Tamat SLTA,13229,4.76923,96.9901
Nanggroe Aceh Darussalam,Bener Meriah,Jumlah Laki Laki,Tamat PT,2039,4.76923,96.9901
Nanggroe Aceh Darussalam,Pidie Jaya,Jumlah Laki Laki,Tidak/Belum Tamat SD,1638,5.13828,96.2004
Nanggroe Aceh Darussalam,Pidie Jaya,Jumlah Laki Laki,Tamat SD,10805,5.13828,96.2004
Nanggroe Aceh Darussalam,Pidie Jaya,Jumlah Laki Laki,Tamat SLTP,13997,5.13828,96.2004
Nanggroe Aceh Darussalam,Pidie Jaya,Jumlah Laki Laki,Tamat SLTA,12929,5.13828,96.2004
Nanggroe Aceh Darussalam,Pidie Jaya,Jumlah Laki Laki,Tamat PT,2634,5.13828,96.2004
Nanggroe Aceh Darussalam,Kota Banda Aceh,Jumlah Laki Laki,Tidak/Belum Tamat SD,964,5.54215,95.3431
Nanggroe Aceh Darussalam,Kota Banda Aceh,Jumlah Laki Laki,Tamat SD,5314,5.54215,95.3431
Nanggroe Aceh Darussalam,Kota Banda Aceh,Jumlah Laki Laki,Tamat SLTP,13081,5.54215,95.3431
Nanggroe Aceh Darussalam,Kota Banda Aceh,Jumlah Laki Laki,Tamat SLTA,48708,5.54215,95.3431
Nanggroe Aceh Darussalam,Kota Banda Aceh,Jumlah Laki Laki,Tamat PT,18441,5.54215,95.3431
Nanggroe Aceh Darussalam,Kota Sabang,Jumlah Laki Laki,Tidak/Belum Tamat SD,388,5.83886,95.2953
Nanggroe Aceh Darussalam,Kota Sabang,Jumlah Laki Laki,Tamat SD,1724,5.83886,95.2953
Nanggroe Aceh Darussalam,Kota Sabang,Jumlah Laki Laki,Tamat SLTP,2421,5.83886,95.2953
Nanggroe Aceh Darussalam,Kota Sabang,Jumlah Laki Laki,Tamat SLTA,4598,5.83886,95.2953
Nanggroe Aceh Darussalam,Kota Sabang,Jumlah Laki Laki,Tamat PT,1369,5.83886,95.2953
Nanggroe Aceh Darussalam,Kota Langsa,Jumlah Laki Laki,Tidak/Belum Tamat SD,1404,4.48157,97.9214
Nanggroe Aceh Darussalam,Kota Langsa,Jumlah Laki Laki,Tamat SD,9218,4.48157,97.9214
Nanggroe Aceh Darussalam,Kota Langsa,Jumlah Laki Laki,Tamat SLTP,11246,4.48157,97.9214
Nanggroe Aceh Darussalam,Kota Langsa,Jumlah Laki Laki,Tamat SLTA,22241,4.48157,97.9214
Nanggroe Aceh Darussalam,Kota Langsa,Jumlah Laki Laki,Tamat PT,5207,4.48157,97.9214
Nanggroe Aceh Darussalam,Kota Lhokseumawe,Jumlah Laki Laki,Tidak/Belum Tamat SD,1364,5.12941,97.0654
Nanggroe Aceh Darussalam,Kota Lhokseumawe,Jumlah Laki Laki,Tamat SD,10889,5.12941,97.0654
Nanggroe Aceh Darussalam,Kota Lhokseumawe,Jumlah Laki Laki,Tamat SLTP,12810,5.12941,97.0654
Nanggroe Aceh Darussalam,Kota Lhokseumawe,Jumlah Laki Laki,Tamat SLTA,24930,5.12941,97.0654
Nanggroe Aceh Darussalam,Kota Lhokseumawe,Jumlah Laki Laki,Tamat PT,6471,5.12941,97.0654
Nanggroe Aceh Darussalam,Kota Subulussalam,Jumlah Laki Laki,Tidak/Belum Tamat SD,1708,2.65359,97.9101
Nanggroe Aceh Darussalam,Kota Subulussalam,Jumlah Laki Laki,Tamat SD,6515,2.65359,97.9101
Nanggroe Aceh Darussalam,Kota Subulussalam,Jumlah Laki Laki,Tamat SLTP,4542,2.65359,97.9101
Nanggroe Aceh Darussalam,Kota Subulussalam,Jumlah Laki Laki,Tamat SLTA,4272,2.65359,97.9101
