id,name,popularity,album_name,release_date,duration_ms,explicit,artist_name,duration_min
3y5l6qhxOiKfcBenhPfvSg,times square 1989 - colombian electro remix,1,times square 1989 (colombian electro remix),2019-06-21,185169,True,hip hop hoodíos,3.09
1jzOX43AhwVPL3O6GC4hyJ,aqua pa' la gente (pinker tones remix),0,carne masada,2005-09-06,316253,False,hip hop hoodíos,5.27
1OojRUkOGm2c7oqpDT0Pko,akrosh,20,marathi cypher,2018-09-01,204644,False,marathi hip hop,3.41
0bDR9Xj89VRf6rZu0wy0bm,navashahir,15,marathi cypher,2018-09-01,258000,False,marathi hip hop,4.3
5LTS1iuhStUgp69jKV3Hby,samajik,13,marathi cypher,2018-09-01,356000,False,marathi hip hop,5.93
5Hdh8zmxG8VvTfT1KvGdLw,mal día,5,semilla,2014-09-12,223226,False,zulú hip hop jam,3.72
1LMfAOj3XJKh8wc2o0sjSN,uno,5,semilla,2014-09-12,244120,False,zulú hip hop jam,4.07
7ftXttR1VwkQTrc7kZWGkF,semilla,4,semilla,2014-09-12,230960,False,zulú hip hop jam,3.85
5HFX9L5vTQw3oVeRTJPiPR,karma,4,semilla,2014-09-12,186306,False,zulú hip hop jam,3.11
09m6p9gd5lRXOf68Qu92qA,ironía,3,semilla,2014-09-12,205573,False,zulú hip hop jam,3.43
3Q1RO7dPL9897QjrQ8K08n,la única constante,3,semilla,2014-09-12,183373,False,zulú hip hop jam,3.06
66Ml8BlS2A3aoh8IjPjPc8,cossa nostra,3,semilla,2014-09-12,225626,False,zulú hip hop jam,3.76
43yw44dsEmMB5VfzyFw7XS,hoy,2,semilla,2014-09-12,198906,False,zulú hip hop jam,3.32
6Yov89jaQIh3KJiGnEupR3,la huida,2,semilla,2014-09-12,240706,False,zulú hip hop jam,4.01
4x7yy2E7zTfMSrb831B1eh,mil hojas,2,semilla,2014-09-12,165626,False,zulú hip hop jam,2.76
5CmKZpxzC8xaFLzXFZUDUY,cho,6,mp hip hop 2000 cho (remastered),2005-03-29,250866,False,mp hip hop,4.18
5aHQ4PvKTjs5thoKbGGium,dice,3,mp hip hop 2000 cho (remastered),2005-03-29,255346,False,mp hip hop,4.26
4UAdHXcCnQFmdqaRUsnA2a,1 times tables (ti style),5,"multiplication times tables - 2 pac, biggie, & ti style",2009-03-27,202788,False,multiplication hip hop for kids,3.38
3nN0ZKO7pB1dqU8z5WkW7t,11 times tables (2 pac style),4,"multiplication times tables - 2 pac, biggie, & ti style",2009-03-27,234161,False,multiplication hip hop for kids,3.9
